segmentIndex,startWindow,endWindow,quality,smoothedRmse,smoothedCorr,smoothedStdRatio,smoothedLowRecall,lowEventRatio,rawCorr,classicCorr,rawWindowClassicCorr,beat15Rmse,beat30Rmse,beat60Rmse,beat15Corr,beat30Corr,beat60Corr,beat15StdRatio,beat30StdRatio,beat60StdRatio,beat15LowRecall,beat30LowRecall,beat60LowRecall,meanBeat15Count,meanBeat30Count,meanBeat60Count,meanBeat15ValidRatio,meanBeat30ValidRatio,meanBeat60ValidRatio,meanBeat15RedPI,meanBeat30RedPI,meanBeat60RedPI,meanBeat15IRPI,meanBeat30IRPI,meanBeat60IRPI,meanBeat15GreenPI,meanBeat30GreenPI,meanBeat60GreenPI,meanRedPI,meanIRPI,meanProjectionGuardRatio,meanConfidence,spo2Min,spo2Max
1,1,300,Failed,2.75352505215509,-0.407252949187148,0.470064665230675,0,0.196666666666667,-0.368026798506594,-0.376584865596307,-0.203327941024974,2.43754643018644,2.57985380052322,2.74166724510076,-0.314616615538146,-0.216616932518245,-0.0529922550846977,0.599639210177141,0.753376527108886,0.948315365279116,0,0,0,16.65,32.4666666666667,61.5866666666667,1,1,1,0.00464747707100408,0.00457607351895717,0.00453916265141178,0.0093101754271114,0.00918122267337969,0.00909502823939367,0.0125365926727587,0.0122260236251061,0.0119159614196933,0.0064554661908187,0.0130919681900802,149861.86859375,0.942562128901482,91,97
2,301,600,Failed,1.52201082206852,-0.520904550024421,0.361711941430938,0,0.0533333333333333,-0.488515967100703,-0.482339666112375,-0.374602483350988,1.58085451350309,1.56220637755299,1.53468129340988,-0.54911469519365,-0.552845484723188,-0.56099137490096,0.419198433160376,0.396731090930187,0.360171311568376,0,0,0,16.6933333333333,33.42,66.9633333333333,1,1,1,0.0120640065815656,0.0119206510315175,0.0115186494373129,0.0235739486195647,0.023301820400139,0.0225672851373551,0.0390105547069943,0.038345236240876,0.0367625235391673,0.0142179965957378,0.0278829089893649,149842.263020833,0.956163130601247,92,97
3,601,900,Borderline,0.462523744632758,0.483115187620294,0.238292583007932,NaN,0,0.0833997646293304,0.0832404372736498,0.0717297211967018,0.5817856261808,0.52861964616204,0.455520894995699,0.0327849126596671,0.113755206525471,0.547672148089907,0.630820054517372,0.476694037411077,0.193197137677779,NaN,NaN,NaN,16.36,32.69,65.25,1,1,1,0.0135787485476663,0.013660257999683,0.0137295157881449,0.0254491500699663,0.0255465726968086,0.0256624035919987,0.0412659544722465,0.041578690658743,0.0419528979071416,0.0159266963601112,0.0298775036570927,149977.548385417,0.964723119537036,94,95
4,901,1200,Borderline,0.5024529513469,0.728480655877022,0.678754737788818,NaN,0,0.299638260636979,0.302975017785173,0.272585847765578,0.582112055208211,0.555146710128031,0.525031880590224,0.320473890356569,0.478738929688249,0.681283252439832,0.660513425459546,0.646301774533744,0.597123629713427,NaN,NaN,NaN,16.3033333333333,32.66,65.4466666666667,1,1,1,0.0118675118148359,0.0119208781185308,0.0119805659461322,0.0225505884488195,0.0226603965652908,0.0228077156119972,0.0342300899010021,0.0342625889541738,0.0345295246663639,0.013485549952214,0.0256278924147288,149970.8965625,0.966209992369016,94,95
5,1201,1500,Borderline,0.399449298988643,0.356035673011161,0.521924251398522,NaN,0,0.0103811341139893,0.0109634321734872,0.000346328076699907,0.425150718265586,0.412865898434493,0.412294494203718,0.0598451994429316,0.194091528294986,0.299743672099033,0.630248771459189,0.539940793278979,0.524074590065045,NaN,NaN,NaN,15.91,31.82,63.7266666666667,1,1,1,0.0117424733990773,0.0117333122437601,0.0117186720507745,0.0219244789170114,0.021908144448927,0.0218544257856653,0.0335268480184615,0.0334189134503549,0.0332852160327682,0.0127875415142626,0.0238626486808062,149980.380833333,0.958997150262197,94,95
6,1501,1800,Failed,0.488001105448504,0.118015313235764,0.189117133614121,NaN,0,0.14564761217105,0.154760783896362,-0.0660889289918428,0.532464506091743,0.515746241780835,0.501845894592921,-0.162883951238948,-0.0995386813641741,-0.0451330390036357,0.32475947464934,0.207076639405512,0.120753075104559,NaN,NaN,NaN,15.8066666666667,31.6166666666667,63.2433333333333,1,1,1,0.0113891905134017,0.0114109650894501,0.0114940554479809,0.0213930295014482,0.0214234990576433,0.0215728191347685,0.0344941497055625,0.0344507642642519,0.0345000342582266,0.0121980129461735,0.0229056262038648,149975.58421875,0.95366991798083,94,95
7,1801,2100,Failed,0.580454313682606,0.310691535864412,0.276118972433857,NaN,0,0.167951936736442,0.169462608983537,0.0436498999242799,0.632918930133943,0.613658777598995,0.607704652621515,0.0747792769697579,0.211047655639951,0.236110165490729,0.391532016136468,0.262691534085348,0.162166751783566,NaN,NaN,NaN,15.7233333333333,31.4466666666667,62.8833333333333,1,1,1,0.0106651026470959,0.0107475823326425,0.0107460341972525,0.0202444915882581,0.0204209183217136,0.0203837903182224,0.0342948821529944,0.0342953115800914,0.0342402947033877,0.0114407119744768,0.0216672543839862,149970.585833333,0.9526010821263,94,95
8,2101,2400,Failed,0.625744392681727,-0.0340569733673693,0.370711188635445,NaN,0,0.278103246161452,0.284419331739316,0.286553189253764,0.576402514748788,0.591636460542126,0.606855924080227,0.447043144729188,0.323520876088815,0.0470365082453016,0.499715102802562,0.394422905806293,0.29095119583009,NaN,NaN,NaN,15.6366666666667,31.2633333333333,62.5333333333333,1,1,1,0.0109950418846423,0.0109962920471579,0.0110257247414438,0.0208003338019074,0.0207915924796027,0.0208323695983503,0.0351849493618846,0.0352235368854494,0.0352337327286734,0.0116488301567733,0.022043269854039,149968.496770833,0.948581632375717,94,95
9,2401,2700,Failed,0.66416668245616,-0.0631907418773268,0.175244030721703,NaN,0,0.0274111673859463,0.0196669202582135,0.0320466431495853,0.662890761764146,0.657378947043938,0.649454411190012,0.0417792178891926,-0.0165009229700642,-0.00232160392776333,0.465936512333793,0.274360608084787,0.162132383523596,NaN,NaN,NaN,15.5633333333333,31.1266666666667,62.3066666666667,1,1,1,0.0109205271520195,0.0109244603013908,0.0109579734953807,0.0207034662984416,0.0207502175289734,0.0208034900984482,0.0357776748870158,0.0357020536674284,0.0356121044958882,0.0114205983684709,0.0216547239882251,149972.142239583,0.946981050173442,94,95
10,2701,3000,Borderline,0.736461352674352,0.400574675556914,0.591748288041035,NaN,0,0.133214915219328,0.132248341032175,0.0099494148770918,0.755272761790343,0.753773845077081,0.73557910465573,-0.0509721159720106,-0.115091708925231,0.2670832899063,0.630796219983833,0.453043079742347,0.370015553863763,NaN,NaN,NaN,15.48,30.9666666666667,61.9033333333333,1,1,1,0.0105111457318803,0.0105802008224881,0.0106287658259505,0.0200260100851029,0.0201863790422285,0.0202569116354151,0.0356134778206259,0.035638566547255,0.0356072147747889,0.0108998568573346,0.020756925434495,149962.997447917,0.945912500619888,94,95
