segmentIndex,startWindow,endWindow,centerMinutes,currentRmse,beat15Rmse,beat30Rmse,beat60Rmse,currentCorr,beat15Corr,beat30Corr,beat60Corr,currentRSnrDb,beat15RSnrDb,beat30RSnrDb,beat60RSnrDb,currentLowRecall,beat15LowRecall,beat30LowRecall,beat60LowRecall,meanBeat15Count,meanBeat30Count,meanBeat60Count,meanBeat15ValidRatio,meanBeat30ValidRatio,meanBeat60ValidRatio,beat30ClassValue,beat30Quality,spo2Min,spo2Max
1,1,300,2.49166666666667,0.549376837300405,0.786238176402622,0.84347372473051,1.05394182477823,0.446615239507983,0.101329514809413,0.116919721013047,0.225081613170247,-6.03511353525006,-12.7337795864638,-6.92719610070267,-3.31919740131691,NaN,NaN,NaN,NaN,16.9433333333333,33.0933333333333,62.7933333333333,1,1,1,1,Failed,96,97
2,301,600,7.49166666666667,0.54953892719899,0.866291611416488,0.671540867051407,0.581445695995213,0.437171933175996,-0.214842596329727,0.0134578176899602,0.0474203365163506,-6.26581514390081,-13.1523595733458,-37.419720551283,-26.4709304418768,NaN,NaN,NaN,NaN,16.39,32.6366666666667,65.26,1,1,1,1,Failed,95,97
3,601,900,12.4916666666667,0.50509090427393,0.900679799257351,0.597530316762281,0.464691181438385,0.638238729771759,0.201029509814888,0.466647244944503,0.539072729721091,-1.62833330918546,-13.7556478999892,-5.55362801313033,-3.87596821475888,NaN,NaN,NaN,NaN,16.7933333333333,33.73,67.7033333333333,1,1,1,2,Borderline,96,97
4,901,1200,17.4916666666667,0.573133822360853,0.95388572030085,0.73194479998037,0.586472497308083,0.424299372203021,-0.151155939190052,0.0503141921698179,0.156609458225465,-6.58454303727751,-16.3111164070857,-25.9551817342235,-15.9957949140997,NaN,NaN,NaN,NaN,15.9766666666667,31.9566666666667,63.7266666666667,1,1,1,1,Failed,95,97
5,1201,1500,22.4916666666667,0.746219838980151,1.06120241716551,0.883818856024317,0.855276691170948,0.497327160686307,-0.349925325061191,0.0231768517162675,0.057806817969692,-4.83318295474312,-8.55322243001693,-32.6965776450938,-24.7458819135028,NaN,NaN,NaN,NaN,15.9533333333333,31.8866666666667,63.91,1,1,1,1,Failed,94,97
6,1501,1800,27.4916666666667,0.598538542361425,0.875193524947609,0.696310921716771,0.631069172369352,0.532814064437232,0.143391538665376,0.259777548793012,0.342991466276419,-4.01827145376036,-16.7793028398704,-11.40452888396,-8.7507763397871,NaN,NaN,NaN,NaN,16.3466666666667,32.7733333333333,65.68,1,1,1,1,Failed,95,97
7,1801,2100,32.4916666666667,0.73755822114978,1.02576800847602,0.807372936846922,0.7828147662029,0.773964014733722,0.142380490287821,0.433187954388,0.591242111117242,1.74319345776946,-16.8420446145237,-6.36389476972099,-2.69671692973765,NaN,NaN,NaN,NaN,16.31,32.5466666666667,64.9366666666667,1,1,1,2,Borderline,94,97
8,2101,2400,37.4916666666667,0.473474016676273,0.72230345806661,0.623514051367725,0.510700961616217,0.384425400259385,-0.31249520256878,-0.147344217876915,0.129189689876701,-7.60925132851467,-9.65686748810961,-16.5380127718563,-17.7023475505699,NaN,NaN,NaN,NaN,15.9833333333333,31.98,63.9566666666667,1,1,1,1,Failed,95,96
9,2401,2700,42.4916666666667,0.63301810604344,0.77274189932934,0.648105832740445,0.632972811759593,0.338269989279083,-0.124640682514968,0.221554978679219,0.196577932617366,-8.88702747957015,-18.0188051140817,-12.8717793600068,-13.9581521881638,NaN,NaN,NaN,NaN,16.6766666666667,33.21,66.2366666666667,1,1,1,1,Failed,95,96
10,2701,3000,47.4916666666667,0.643533419534319,0.635173640277546,0.626521975896872,0.658736653446969,0.349004854612022,0.32305053216217,0.54586246877437,0.461259872338158,-8.57929090083993,-9.33591761393083,-3.72191777900441,-5.68215434218811,NaN,NaN,NaN,NaN,17.4233333333333,34.9033333333333,69.7,1,1,1,2,Borderline,95,96
